Timestamp,Age,Country,City,Sex,How do you commute? Check all that apply,How long is your commute?,How much of your time at work is spent sitting?,How satisfied are you with your quality of sleep?,In which position do you normally sleep?,How would you rate your level of physical activity?,"Do you use a fitness tracking device? (Fitbit, Apple Watch, Pebble, etc)",Please rate your general posture.,Are you concerned are you about your posture?,Do you have frequent back pain?,How severe is the pain? (leave blank if not applicable),Where do you experience the pain?,When do you experience the pain? Check all that apply.,If you have sought medical treatment for the pain please check all that apply.,What do you like least about finding back pain relief?
2019/10/24 12:47:56 AM EST,53,United States,Boerne,Female,Drive a car,> 45 minutes,50% - 75%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,4,No,3,,Lower back;Upper back / shoulders,While standing,Visited a chiropractor,Treatment is inconvenient and time consuming
2019/10/24 8:22:47 AM EST,26,USA,Boston,Female,Drive a car,10 - 29 minutes,50% - 75%,Very dissatisfied,On your stomach,Active (some form of exercise 3 - 4 days per week),Yes,3,No,2,2,Lower back,Not Applicable,"Taken ""over the counter"" pain medication;Used CBD products",Lack of access to cost effective treatment
2019/10/24 8:36:35 AM EST,35,United States,Lexington,Male,Drive a car,10 - 29 minutes,75% - 100%,Neutral,On your back,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,4,3,Lower back;Upper back / shoulders,While moving,"Visited a physician or doctor;Visited a physical therapist;Taken prescription pain medication;Taken ""over the counter"" pain medication","Having to take medicine.  I appreciate having it, but do not want to stay long term on anything."
2019/10/24 9:35:41 AM EST,64,United States,Rock Hall,Female,Drive a car,> 45 minutes,75% - 100%,Neutral,On your side,Minimal (walking to and from the car/bus each day),No,2,Yes,2,4,Lower back,While moving,"Visited a physician or doctor;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication",Medication (precription)
2019/10/24 10:18:47 AM EST,60,USA,Hollywood,Male,Bike;Drive a car;Use public transportation,30 - 45 minutes,75% - 100%,Very satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,No,1,,NA,,,
2019/10/24 10:22:20 AM EST,20,United States,Lancaster,Female,Walk;Drive a car,< 10 minutes,50% - 75%,Neutral,On your stomach,Minimal (walking to and from the car/bus each day),Yes,2,Yes,1,,NA,Not Applicable,Not Applicable,no pain
2019/10/24 10:25:20 AM EST,24,US,Claremont,Male,Walk;Use public transportation,> 45 minutes,75% - 100%,Satisfied,On your side,Very active (some form of exercise 5 days a week),Yes,4,Yes,1,1,NA,Not Applicable,Not Applicable,
2019/10/24 10:59:11 AM EST,20,United States,Huntsville,Male,Walk;Drive a car,< 10 minutes,75% - 100%,Dissatisfied,On your stomach,Active (some form of exercise 3 - 4 days per week),No,3,"Probably, but I likely wouldn't do anything about it.",2,2,Upper back / shoulders,Not Applicable,Not Applicable,Treatment is inconvenient and time consuming
2019/10/24 11:05:34 AM EST,63,United States,Huntsville,Female,Drive a car,10 - 29 minutes,75% - 100%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),Yes,4,No,2,2,Lower back,While standing,"Taken ""over the counter"" pain medication",
2019/10/24 12:06:09 PM EST,25,USA,Durham,Female,Walk,< 10 minutes,25% - 50%,Very satisfied,On your side,Very active (some form of exercise 5 days a week),No,3,Yes,4,3,Upper back / shoulders;Base of the neck,While standing;While moving,Visited a physician or doctor;Visited a physical therapist,Lack of access to cost effective treatment
2019/10/24 12:11:28 PM EST,28,United states,Miami shores,Female,Use public transportation,< 10 minutes,25% - 50%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),No,3,No,2,1,Lower back,Not Applicable,Not Applicable,Doing frequent exercises / stretches
2019/10/24 1:50:47 PM EST,53,USA,Tacoma,Female,Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,4,No,5,3,Lower back,While standing;While moving;While sleeping,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication;Used CBD products",Treatment is inconvenient and time consuming
2019/10/24 2:05:07 PM EST,33,United States,Natchitoches,Female,Drive a car,< 10 minutes,25% - 50%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,4,2,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sedentary;While sleeping,Not Applicable,Treatment is inconvenient and time consuming
2019/10/24 4:02:36 PM EST,21,United States,San Diego,Female,Walk;Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),Yes,4,No,3,3,Lower back;Base of the neck,While standing;While sleeping,Visited a physical therapist;Visited a chiropractor;Used CBD products;Used homeopathic remedies,Lack of access to cost effective treatment
2019/10/24 7:48:11 PM EST,23,US,San francisco,Male,Bike;Use public transportation,> 45 minutes,75% - 100%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),No,2,Yes,3,3,Lower back;Base of the neck,While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/25 1:20:12 AM EST,25,Singapore,Singapore,Male,Use public transportation,10 - 29 minutes,50% - 75%,Neutral,On your back,Moderate (some form of exercise 1 - 2 days per week),No,3,"Probably, but I likely wouldn't do anything about it.",2,3,Lower back,While moving;While sleeping,Not Applicable,money
2019/10/25 5:32:12 AM EST,20,0,York,Male,Drive a car,< 10 minutes,25% - 50%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),Yes,4,No,2,3,Upper back / shoulders;Base of the neck,While sedentary;While sleeping,"Taken ""over the counter"" pain medication",
2019/10/25 5:34:59 AM EST,67,0,York,Male,Drive a car,< 10 minutes,< 25%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,2,No,4,4,Lower back;Base of the neck,While standing,"Visited a physician or doctor;Taken prescription pain medication;Taken ""over the counter"" pain medication",
2019/10/25 9:55:26 AM EST,40,United States,LEWISBURG,Female,Drive a car,< 10 minutes,75% - 100%,Satisfied,On your back,Active (some form of exercise 3 - 4 days per week),No,3,Yes,3,1,Lower back;Upper back / shoulders,While sedentary,"Visited a physical therapist;Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/25 11:39:11 AM EST,57,USA,Schertz,Female,Drive a car,30 - 45 minutes,50% - 75%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),Yes,4,No,4,3,Lower back,While sedentary,Visited a chiropractor;Used homeopathic remedies,Doing frequent exercises / stretches
2019/10/25 1:42:24 PM EST,62,USA,Williamsburg,Female,Bike;Drive a car;Use public transportation,30 - 45 minutes,50% - 75%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),No,3,"Probably, but I likely wouldn't do anything about it.",2,1,Lower back,Not Applicable,Visited a chiropractor,Treatment is inconvenient and time consuming
2019/10/26 6:30:08 AM EST,41,Canada,Midland,Male,Walk,< 10 minutes,25% - 50%,Satisfied,On your side,Minimal (walking to and from the car/bus each day),Yes,2,"Probably, but I likely wouldn't do anything about it.",2,2,Lower back;Upper back / shoulders;Base of the neck,While standing,Not Applicable,Doing frequent exercises / stretches
2019/10/27 9:03:10 AM EST,47,United States of America,Hazleton,Male,Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),Yes,4,No,5,5,Lower back;Base of the neck,While standing;While moving;While sedentary,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/28 10:34:13 AM EST,24,United States,Jonesboro,Female,Drive a car,10 - 29 minutes,50% - 75%,Neutral,On your back,Active (some form of exercise 3 - 4 days per week),Yes,3,Yes,3,2,Lower back;Base of the neck,While standing,"Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/30 2:20:28 PM EST,50,United States,Norfolk,Female,Drive a car,30 - 45 minutes,75% - 100%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),No,2,Yes,5,4,Lower back;Upper back / shoulders;Base of the neck,While moving;While sleeping,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication;Used homeopathic remedies",Treatment is inconvenient and time consuming
2019/10/31 1:56:38 PM EST,37,US,,Prefer not to say,Drive a car;Use public transportation,30 - 45 minutes,50% - 75%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),"Own, but do not use",3,Yes,3,3,Lower back;Upper back / shoulders;Base of the neck,While sedentary;While sleeping,Visited a chiropractor,Doing frequent exercises / stretches
2019/11/01 11:43:22 AM EST,63,USA,Gaithersburg,Male,Drive a car;Use public transportation,10 - 29 minutes,50% - 75%,Very dissatisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,4,No,4,3,Lower back,While standing;While moving;While sedentary;While sleeping,"Visited a physician or doctor;Visited a chiropractor;Taken ""over the counter"" pain medication;Used CBD products",Doing frequent exercises / stretches
2019/11/03 9:15:15 PM EST,24,USA,San Francisco,Female,Use public transportation,10 - 29 minutes,75% - 100%,Dissatisfied,On your side,Active (some form of exercise 3 - 4 days per week),Yes,3,Yes,4,3,Lower back,While standing;While moving;While sedentary;While sleeping,"Visited a physician or doctor;Taken ""over the counter"" pain medication;Used CBD products",Treatment is inconvenient and time consuming
2019/11/06 12:55:07 PM EST,26,USA,Irvine,Female,Drive a car,30 - 45 minutes,25% - 50%,Satisfied,On your side,Very active (some form of exercise 5 days a week),No,3,Yes,2,1,Lower back,While standing,"Taken ""over the counter"" pain medication;Not Applicable",Doing frequent exercises / stretches
2019/11/12 1:21:57 PM EST,28,Puerto Rico,Guaynabo,Female,Drive a car,< 10 minutes,75% - 100%,Satisfied,On your back,Minimal (walking to and from the car/bus each day),No,3,Yes,5,4,Upper back / shoulders,While standing;While moving;While sedentary;While sleeping,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication;Used CBD products",Treatment is inconvenient and time consuming
2019/10/27 9:03:10 AM EST,47,United States of America,Hazleton,Male,Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),Yes,4,No,5,5,Lower back;Base of the neck,While standing;While moving;While sedentary,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/28 10:34:13 AM EST,24,United States,Jonesboro,Female,Drive a car,10 - 29 minutes,50% - 75%,Neutral,On your back,Active (some form of exercise 3 - 4 days per week),Yes,3,Yes,3,2,Lower back;Base of the neck,While standing,"Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
